month_num,month,keywords,avg_rank
1,January,coronavirus,1.94
1,January,kobe byrant,5.06
1,January,kobe,6.38
1,January,vanessa bryant,0.41
1,January,martin luther king jr. day,0.35
2,February,ryan newman,4.28
2,February,iowa caucus results,3.48
2,February,roberto gomez bolanos,3.1
2,February,sir john tenniel,2.86
2,February,greensboro sit-in,2.55
3,March,coronavirus tips,7.58
3,March,covid,48.97
3,March,stimulas check,4.71
3,March,covid 19,33.45
3,March,tiger king,3.16
4,April,thank you coronavirus helpers,31.27
4,April,popular google doodle games,12.27
4,April,get my payment,9.27
4,April,irs stimulus check portal,5.03
4,April,irs get my payment,4.13
5,May,george floyd,14.5
5,May,ahmaud arbery,3.6
5,May,murder hornet,3.2
5,May,spacex launch,4.1
5,May,derek chauvin,2.45
6,June,juneteenth,8.4
6,June,marsha p. johnson,3.33
6,June,bubba wallace,3.1
6,June,blackout Tuesday,1.8
6,June,aunt jemima,2.1
7,July,naya rivera,14.06
7,July,dilhan eryurt,3.9
7,July,kelly preston,4.06
7,July,pacita abad,2.77
7,July,regis philbin,3.19
8,August,beirut,12.94
8,August,vicki draves,6.71
8,August,covid-19 prevention,7.35
8,August,beirut explosion today,2.47
8,August,pga championship,4.82