month,keywords,avg_rank
January,coronavirus,1.94
January,kobe byrant,5.06
January,kobe,6.38
January,vanessa bryant,0.41
January,martin luther king jr. day,0.35
March,coronavirus tips,7.58
March,covid,48.97
March,stimulas check,4.71
March,covid 19,33.45
March,tiger king,3.16
May,george floyd,14.5
May,ahmaud arbery,3.6
May,murder hornet,3.2
May,spacex launch,4.1
May,derek chauvin,2.45
June,juneteenth,8.4
June,marsha p. johnson,3.33
June,bubba wallace,3.1
June,blackout Tuesday,1.8
June,aunt jemima,2.1